sample,IGH_reads,IGH_ucdr3,,class_switched_mutated_percent_by_reads,class_switched_unmutated_percent_by_reads,naive_mutated_percent_by_reads,naive_unmutated_percent_by_reads,,class_switched_mutated_percent_by_clone,class_switched_unmutated_percent_by_clone,naive_mutated_percent_by_clone,naive_unmutated_percent_by_clone,,IGH_mutated_by_reads,IGH_mutated_by_clone,,IGH_SHM0_undivided,IGHA_SHM0_undivided,IGHG1_SHM0_undivided,IGHG2_SHM0_undivided,IGHG3_SHM0_undivided,IGHM_IGHD_SHM0_undivided,,IGH_SHM1_undivided,IGHA_SHM1_undivided,IGHG1_SHM1_undivided,IGHG2_SHM1_undivided,IGHG3_SHM1_undivided,IGHM_IGHD_SHM1_undivided,,IGH_SHM0_gt0_undivided,IGHA_SHM0_gt0_undivided,IGHG1_SHM0_gt0_undivided,IGHG2_SHM0_gt0_undivided,IGHG3_SHM0_gt0_undivided,IGHM_IGHD_SHM0_gt0_undivided,,IGH_SHM1_gt0_undivided,IGHA_SHM1_gt0_undivided,IGHG1_SHM1_gt0_undivided,IGHG2_SHM1_gt0_undivided,IGHG3_SHM1_gt0_undivided,IGHM_IGHD_SHM1_gt0_undivided
L4,111375,48325,,9.646689113,14.99259259,18.03367003,57.32704826,,2.340953364,0.749238274,31.31316495,65.59664341,,27.68035915,33.65411831,,0.533782267,1.31142479,2.360493827,0.422878715,1.810650888,0.456006577,,0.679492516,3.275568182,2.842293907,2.566037736,1.86407767,0.615239241,,1.928379124,1.458425313,4.365296804,3.447484123,3.06,1.905601195,,2.019047148,4.302238806,3.49339207,3.41218638,2.704225352,1.904078269
L4_r,106526,43439,,3.87135535,6.580553104,25.00422432,64.54386722,,2.593555845,0.747724317,33.25025285,63.40846698,,28.87557967,35.8438087,,0.577295684,2.313148071,1.786666667,0.956051771,2.115702479,0.484673767,,0.750957232,3.2319202,3.086065574,2.602355072,2.151162791,0.680985837,,1.999252276,3.700729927,4.57337884,3.461380021,3.324675325,1.735771137,,2.095082132,4.075471698,3.861538462,3.368112544,3.13559322,1.979630636
PosCtrl_m20210506,318201,160936,,27.07816757,19.31075012,25.44115198,28.16993033,,30.7847192,13.95172633,29.88555306,25.37800141,,52.51931955,60.67027226,,1.619064679,2.401389894,2.781201849,1.750149967,2.226778347,1.309195679,,1.885645156,3.007530971,2.936128237,2.071758103,2.39780442,1.50715054,,3.082798279,3.995400817,3.87457835,3.104715854,3.326237162,2.758813647,,3.108021582,4.08088085,3.915159487,3.114340614,3.351504139,2.786981917
PosCtrl_m20210506_r,327365,164161,,27.10124784,19.0677073,25.44346525,28.38757961,,30.70922275,13.85815545,30.16905654,25.26356526,,52.54471309,60.87827929,,1.652336077,2.361255257,2.923792903,1.798123886,2.375578498,1.33756469,,1.931363044,3.06160003,3.087916943,2.107504107,2.521886895,1.550493842,,3.144628604,3.997460238,4.077339102,3.149547466,3.497379455,2.829901672,,3.172499398,4.152698864,4.104227833,3.166320301,3.511451827,2.848877247
S1,82933,10465,,25.38072902,20.02700975,12.62223723,41.970024,,21.96274521,4.571679763,32.32045717,41.14511786,,38.00296625,54.28320237,,1.943315689,4.728381327,6.398177247,0.423298375,1.045676998,0.537979017,,2.00142865,5.033414338,6.163299663,2.33427762,2.365671642,1.050411369,,5.113589491,6.582891523,8.783002588,3.029433407,3.205,2.326805502,,3.687012856,5.867563739,7.192534381,3.329292929,3.17,2.387623257
S1_r,79235,10045,,24.79207421,18.10437307,12.8415473,44.26200543,,20.20490133,4.179521509,33.55841434,42.05716282,,37.63362151,53.76331568,,1.881315075,4.022601651,5.554186145,0.918690373,1.359281437,0.537682889,,1.934920543,5.043146366,5.420479303,2.261403509,3.066666667,1.062047729,,4.999027466,6.457971191,7.811715481,3.524958403,4.203703704,2.390958231,,3.598960589,5.873598763,6.395886889,3.263291139,4.451612903,2.393061578
S2,683759,190693,,26.79920849,12.79208025,19.62504333,40.78366793,,16.64648101,3.386262015,29.42963771,50.53761927,,46.42425182,46.07611872,,2.521379609,4.889486417,3.545396419,1.575043185,1.860984692,1.419370536,,1.670584093,5.045936785,3.937763713,2.851592852,2.507241379,1.024043393,,5.431169077,6.742346757,4.45024077,3.265730566,3.302496329,4.369027037,,3.625704898,5.872738935,4.631513648,3.614941658,3.504096386,2.782567084
S2_r,678417,190250,,26.58645052,13.29388857,19.25777214,40.86188878,,16.39632328,3.480531395,29.6201549,50.50299042,,45.84422265,46.01647818,,2.459748208,4.943380015,3.966327827,1.777761438,1.827415044,1.331261554,,1.628231683,5.024878982,4.131891892,2.767782427,2.350995504,0.992557459,,5.365448612,6.837470118,4.862149533,3.65698632,3.300689655,4.155984018,,3.538366574,5.867560551,4.925257732,3.54691689,3.347508002,2.684888915
S3,238152,102656,,26.35207766,5.893714938,21.23643723,46.51777016,,11.73143173,1.434708026,29.69647136,57.13738889,,47.5885149,41.42790309,,2.055985253,5.006404378,2.35483871,0.927926637,2.094049904,0.847345654,,1.352013837,5.270197211,3.423220974,2.476049675,2.572700297,0.808008163,,4.320339177,5.718192549,4.091445428,3.379958246,3.117142857,2.703430549,,3.263534323,5.784033443,4.044247788,3.415171289,3.271698113,2.362653363
S3_r,218986,98059,,25.76968391,6.139661896,20.69173372,47.39892048,,11.46476178,1.32920406,29.14754617,58.05848799,,46.46141762,40.61230795,,1.983738686,5.029781899,2.685649203,0.817617499,1.413716814,0.765299211,,1.302567233,5.316408338,3.205426357,2.480833894,1.939622642,0.762615353,,4.26964735,5.762041538,4.010204082,3.483627204,2.68487395,2.518383651,,3.207321372,5.791979038,3.882629108,3.441231343,2.691099476,2.28165555
S4,357071,138371,,32.35603003,7.710511355,18.5268476,41.40661101,,12.34650906,1.571914024,28.79479642,57.28678049,,50.88287763,41.14130548,,2.303421448,4.964666641,2.989026063,1.505980066,1.899553571,0.745309689,,1.300894365,5.058251988,3.294520548,2.535487594,2.418960245,0.761732349,,4.526908767,5.92561731,3.870337478,2.982236842,2.965156794,2.411040905,,3.162015278,5.560860493,4.087818697,3.259643917,3.176706827,2.277186504
S4_r,337673,131993,,31.36910561,6.841233975,19.7315154,42.05814501,,12.6328243,1.57344659,29.05315153,56.74057758,,51.10062102,41.68597583,,2.310519349,4.975949302,3.144370861,1.447847443,1.65237167,0.869780059,,1.325086278,5.061307965,3.588652482,2.515868077,2.418351477,0.773528552,,4.521509333,5.843748107,4.016920474,2.776690063,2.899657925,2.723734766,,3.178733979,5.561508938,4.337142857,3.222797927,3.11,2.284223761
